customer_id,join_date,age_group,gender,region,plan_type,monthly_fee,tenure_months,churn_yn
CUST0390,2021-05-04,40대,F,서울,LTE베이직,39000,32,N
CUST0391,2020-12-05,20대,F,서울,5G스탠다드,69000,37,N
CUST0392,2023-04-08,30대,F,서울,청소년요금제,29000,8,N
CUST0393,2023-08-22,50대+,M,경기,데이터무제한,99000,4,N
CUST0394,2019-02-25,30대,F,서울,5G프리미엄,89000,59,N
CUST0395,2019-11-19,40대,M,대구,5G프리미엄,89000,50,Y
CUST0396,2021-06-07,50대+,F,경기,5G프리미엄,89000,31,N
CUST0397,2021-09-01,50대+,F,인천,5G스탠다드,69000,28,N
CUST0398,2020-11-15,20대,F,경기,5G프리미엄,89000,38,N
CUST0399,2023-09-02,30대,M,부산,5G프리미엄,89000,4,N
CUST0400,2021-02-16,50대+,M,인천,5G스탠다드,69000,34,N
CUST0401,2022-09-19,40대,M,기타,데이터무제한,99000,15,N
CUST0402,2021-01-26,40대,M,기타,LTE베이직,39000,35,N
CUST0403,2022-07-26,40대,M,서울,LTE베이직,39000,17,N
CUST0404,2020-01-28,30대,F,기타,5G프리미엄,89000,47,N
CUST0405,2022-02-25,30대,M,경기,5G스탠다드,69000,22,N
CUST0406,2023-08-20,50대+,M,기타,5G프리미엄,89000,4,N
CUST0407,2022-04-06,40대,M,인천,5G프리미엄,89000,21,N
CUST0408,2023-09-20,30대,M,서울,LTE베이직,39000,3,N
CUST0409,2019-12-11,20대,F,서울,5G프리미엄,89000,49,N
CUST0410,2022-01-06,10대,M,서울,5G프리미엄,89000,24,N
CUST0411,2023-02-10,30대,M,대구,청소년요금제,29000,10,N
CUST0412,2020-07-20,30대,M,인천,데이터무제한,99000,42,N
CUST0413,2021-04-10,30대,M,서울,LTE베이직,39000,33,N
CUST0414,2020-08-05,50대+,F,경기,LTE베이직,39000,41,N
CUST0415,2020-01-22,10대,F,서울,LTE베이직,39000,48,N
CUST0416,2022-06-01,40대,F,서울,5G프리미엄,89000,19,N
CUST0417,2022-12-25,20대,F,경기,LTE베이직,39000,12,N
CUST0418,2020-06-15,20대,M,서울,데이터무제한,99000,43,Y
CUST0419,2021-09-09,50대+,M,서울,5G프리미엄,89000,28,N
CUST0420,2020-05-22,20대,F,인천,5G프리미엄,89000,43,N
CUST0421,2022-01-26,10대,M,대구,데이터무제한,99000,23,N
CUST0422,2019-09-03,40대,M,기타,데이터무제한,99000,52,N
CUST0423,2021-05-30,50대+,F,부산,청소년요금제,29000,31,N
CUST0424,2019-04-11,40대,M,서울,데이터무제한,99000,57,N
CUST0425,2018-09-28,40대,M,인천,5G스탠다드,69000,64,Y
CUST0426,2018-08-09,50대+,F,서울,LTE베이직,39000,65,Y
CUST0427,2020-07-28,40대,F,경기,데이터무제한,99000,41,N
CUST0428,2019-11-01,30대,F,부산,데이터무제한,99000,50,N
CUST0429,2021-06-19,30대,M,대구,5G스탠다드,69000,30,N
CUST0430,2023-05-04,50대+,F,경기,5G프리미엄,89000,8,N
CUST0431,2022-06-05,30대,F,서울,데이터무제한,99000,19,N
CUST0432,2019-08-28,30대,F,서울,5G스탠다드,69000,52,N
CUST0433,2018-10-31,20대,F,인천,청소년요금제,29000,62,Y
CUST0434,2023-03-10,30대,M,기타,LTE베이직,39000,9,N
CUST0435,2023-02-02,30대,M,인천,5G프리미엄,89000,11,N
CUST0436,2020-09-25,10대,M,서울,데이터무제한,99000,39,N
CUST0437,2021-01-06,20대,M,경기,5G스탠다드,69000,36,N
CUST0438,2022-09-02,10대,M,부산,LTE베이직,39000,16,N
CUST0439,2019-01-24,20대,M,기타,5G프리미엄,89000,60,Y
CUST0440,2019-03-31,30대,M,서울,5G스탠다드,69000,57,N
CUST0441,2019-01-08,30대,M,기타,청소년요금제,29000,60,N
CUST0442,2021-12-21,20대,F,대구,청소년요금제,29000,24,N
CUST0443,2021-09-02,50대+,F,경기,5G스탠다드,69000,28,N
CUST0444,2021-10-18,20대,M,기타,5G스탠다드,69000,26,N
CUST0445,2022-10-23,30대,F,인천,5G프리미엄,89000,14,N
CUST0446,2023-07-29,20대,F,경기,5G프리미엄,89000,5,N
CUST0447,2020-05-12,30대,M,경기,LTE베이직,39000,44,N
CUST0448,2018-10-11,20대,F,서울,5G프리미엄,89000,63,N
CUST0449,2020-04-16,20대,F,경기,LTE베이직,39000,45,N
CUST0450,2022-09-24,30대,M,부산,5G프리미엄,89000,15,N
CUST0451,2023-04-19,10대,M,경기,5G스탠다드,69000,8,N
CUST0452,2021-06-21,50대+,F,서울,LTE베이직,39000,30,N
CUST0453,2021-08-05,30대,F,기타,청소년요금제,29000,29,N
CUST0454,2019-08-16,30대,F,부산,청소년요금제,29000,53,N
CUST0455,2021-10-17,20대,M,서울,5G스탠다드,69000,26,N
CUST0456,2021-07-01,40대,M,대구,5G스탠다드,69000,30,N
CUST0457,2021-12-13,30대,M,기타,5G스탠다드,69000,24,N
CUST0458,2018-12-18,20대,M,경기,5G스탠다드,69000,61,N
CUST0459,2021-03-20,40대,M,인천,데이터무제한,99000,33,N
CUST0460,2022-09-15,30대,F,기타,청소년요금제,29000,15,N
CUST0461,2019-06-29,50대+,F,경기,5G프리미엄,89000,54,N
CUST0462,2023-08-21,50대+,F,경기,5G스탠다드,69000,4,N
CUST0463,2018-08-30,30대,M,서울,5G프리미엄,89000,65,N
CUST0464,2022-04-27,30대,F,경기,청소년요금제,29000,20,N
CUST0465,2021-06-06,50대+,F,기타,5G스탠다드,69000,31,N
CUST0466,2020-09-12,50대+,M,기타,LTE베이직,39000,40,Y
CUST0467,2020-05-19,40대,M,서울,LTE베이직,39000,44,N
CUST0468,2019-03-25,10대,F,기타,LTE베이직,39000,58,N
CUST0469,2020-06-30,10대,F,서울,LTE베이직,39000,42,N
CUST0470,2023-05-21,40대,F,기타,5G프리미엄,89000,7,N
CUST0471,2020-10-10,40대,F,대구,LTE베이직,39000,39,N
CUST0472,2022-04-03,40대,M,서울,데이터무제한,99000,21,N
CUST0473,2021-12-02,40대,M,경기,5G스탠다드,69000,25,N
CUST0474,2022-12-30,20대,M,경기,5G프리미엄,89000,12,N
CUST0475,2019-02-27,10대,M,기타,데이터무제한,99000,58,N
CUST0476,2023-07-26,30대,M,서울,청소년요금제,29000,5,N
CUST0477,2018-11-29,50대+,F,경기,5G스탠다드,69000,61,Y
CUST0478,2021-09-18,20대,M,부산,데이터무제한,99000,27,N
CUST0479,2021-04-26,20대,F,기타,데이터무제한,99000,32,N
CUST0480,2022-07-24,50대+,M,경기,LTE베이직,39000,17,N
CUST0481,2021-04-07,30대,M,경기,LTE베이직,39000,33,N
CUST0482,2021-07-26,30대,F,인천,청소년요금제,29000,29,N
CUST0483,2021-12-09,40대,M,기타,5G스탠다드,69000,25,N
CUST0484,2019-08-06,20대,F,기타,5G스탠다드,69000,53,N
CUST0485,2020-08-17,50대+,M,경기,5G스탠다드,69000,41,N
CUST0486,2021-08-02,20대,F,경기,LTE베이직,39000,29,Y
CUST0487,2020-08-01,10대,M,부산,데이터무제한,99000,41,N
CUST0488,2020-10-23,30대,F,서울,5G스탠다드,69000,38,N
CUST0489,2023-07-19,40대,M,서울,데이터무제한,99000,5,N
CUST0490,2019-01-11,20대,M,경기,데이터무제한,99000,60,N
CUST0491,2019-07-18,40대,M,대구,LTE베이직,39000,54,N
CUST0492,2020-11-19,10대,F,서울,5G스탠다드,69000,37,N
CUST0493,2020-04-04,30대,F,기타,5G프리미엄,89000,45,N
CUST0494,2020-01-25,30대,F,경기,5G프리미엄,89000,47,N
CUST0495,2021-05-02,50대+,M,부산,LTE베이직,39000,32,N
CUST0496,2019-11-11,20대,F,경기,5G스탠다드,69000,50,N
CUST0497,2020-09-04,20대,M,경기,5G스탠다드,69000,40,Y
CUST0498,2023-03-23,20대,F,서울,데이터무제한,99000,9,N
CUST0499,2021-06-25,40대,F,대구,청소년요금제,29000,30,N
CUST0500,2021-11-13,20대,F,기타,LTE베이직,39000,25,N
